,Unnamed: 0,Gene,n_cells,highly_variable,means,dispersions,dispersions_norm
6818,6818,FLJ31356,52,True,0.006716946993951465,2.71227968122481,3.2024353
6819,6819,FLJ32255,3160,True,0.3585635102879335,2.155437489241734,0.7080774
6825,6825,FLJ37453,1948,True,0.19568431639489348,2.020000842230617,0.7283535
6828,6828,FLJ40194,5,True,0.0008733276344810705,2.204866625661956,1.389031
6833,6833,FLJ42393,34,True,0.0036871586497243675,2.039449689926926,0.79786026
6851,6851,FLT1,125,True,0.016445332064807347,2.1215264709073858,1.0911881
6852,6852,FLT3,9517,True,1.0181811731442996,2.410743566398944,0.9052667
6853,6853,FLT3LG,1103,True,0.16561998721562654,2.1397001515427485,1.1561376
6855,6855,FLVCR1,1987,True,0.2057540832330737,2.941548500648815,4.0218015
6861,6861,FMN1,530,True,0.06292363687605801,2.040357253457291,0.8011037
6864,6864,FMNL2,624,True,0.06780064119975211,2.0537261872377783,0.8488819
6865,6865,FMNL3,1054,True,0.13439359266976011,2.054544487875766,0.8518064
6867,6867,FMO2,10,True,0.003059022254069252,2.853518893114818,3.707199
6868,6868,FMO3,7,True,0.002408189673212656,3.3421114955186897,5.4533424
6873,6873,FMOD,9,True,0.0011291186847059774,2.1261811361304708,1.107823
6875,6875,FMR1-AS1,13,True,0.0015268348458269433,2.0463108923127846,0.82238096
6877,6877,FN1,408,True,0.06740674264871054,2.807697448460139,3.5434413
6881,6881,FNBP1L,1274,True,0.14069493253606685,2.099137160230164,1.0111727
6890,6890,FNDC7,20,True,0.002685675744234277,2.0708228416453656,0.9099823
6902,6902,FOLR2,175,True,0.017608768478363804,2.0552153362447845,0.8542039
6909,6909,FOXA1,3,True,0.0005725140403656044,2.3671021517871096,1.968832
6918,6918,FOXD1,9,True,0.001546437336916368,2.420012909404841,2.1579256
6929,6929,FOXE1,4,True,0.000479212949632158,2.128068875463996,1.1145695
6939,6939,FOXJ1,28,True,0.0032203439131860824,2.0456294638170465,0.8199457
6944,6944,FOXL1,12,True,0.0013043241241826136,2.2698739833150396,1.6213558
6952,6952,FOXN3-AS2,158,True,0.02144230885532367,2.0785093120820717,0.93745244
6953,6953,FOXN4,4,True,0.0007963411691865816,2.0526955338614985,0.8451986
6954,6954,FOXO1,1904,True,0.2593731644797554,2.2426860522497285,1.5241909
6962,6962,FOXP3,144,True,0.020166753386419354,2.1043776148886053,1.0299011
6974,6974,FPR1,1452,True,0.2126896187176207,2.3332676525358527,1.8479135
6994,6994,FRG2C,4,True,0.0006920966092904962,2.0194757004728823,0.7264768
6999,6999,FRK,23,True,0.0026289855754214092,2.065107169483754,0.8895555
7001,7001,FRMD3,574,True,0.07321795857604947,2.027807510882128,0.7562532
7003,7003,FRMD4B,1673,True,0.18259110304040854,2.025818336480321,0.7491442
7010,7010,FRMD8P1,20,True,0.0027149979715771814,2.7173686226949174,3.220622
7014,7014,FRMPD3,45,True,0.006632762047140161,2.0367594103423423,0.7882457
7019,7019,FRS2,1515,True,0.1590179901799282,2.0121400855803477,0.7002606
7024,7024,FRZB,60,True,0.008393761148683255,2.622267604018954,2.880748
7029,7029,FSCN3,5,True,0.0008855625375802494,2.2951656422941418,1.7117437
7036,7036,FSIP2,91,True,0.012653102733952638,2.33843032475953,1.866364
7038,7038,FST,42,True,0.004663420312374246,2.308024815122223,1.7577001
7039,7039,FSTL1,275,True,0.02841092628233373,2.2439263681702575,1.5286236
7046,7046,FTH1,26523,True,2.3967889742365123,3.007670191114079,1.140928
7050,7050,FTL,30974,True,2.9848158231009427,3.5038101757229816,1.3798254
7060,7060,FUCA1,1493,True,0.17106369152385,2.366128609171092,1.9653528
7085,7085,FXYD1,21,True,0.0028311607220294624,2.4688524407307004,2.3324695
7086,7086,FXYD2,164,True,0.024795470056203986,2.2589646112789157,1.5823677
7093,7093,FYB1,12948,True,1.3998465318545572,2.53945810788102,0.77475613
7095,7095,FYCO1,1125,True,0.1266070237922878,2.02856127023537,0.75894696
7096,7096,FYN,2879,True,0.37335003705450676,2.153620646887357,0.7006429
7102,7102,FZD3,856,True,0.09415628947274539,2.030035969918161,0.7642173
7110,7110,G0S2,598,True,0.09303136935111991,2.547744240103072,2.6144147
7127,7127,GABBR1,1042,True,0.13810634419257017,2.1385882919977552,1.152164
7137,7137,GABRA4,208,True,0.03107999776007479,2.101079255414414,1.0181134
7140,7140,GABRB1,16,True,0.001515149214478136,2.0783521057506857,0.9368906
7141,7141,GABRB2,3,True,0.000855393277931944,2.6280396514505155,2.9013762
7142,7142,GABRB3,5,True,0.0009206767702935498,2.758668820711236,3.3682218
7160,7160,GADD45B,5880,True,0.6722593993767613,2.6133171647764333,1.8733243
7163,7163,GADL1,44,True,0.0064657928218808175,2.0447555825340094,0.8168226
7191,7191,GAL3ST4,139,True,0.018003257880920397,2.104925971411964,1.0318608
7196,7196,GALM,1302,True,0.16055783561134918,2.0349316895720606,0.7817137
7209,7209,GALNT3,876,True,0.10078564241560935,2.022713774412632,0.7380491
7210,7210,GALNT4,2021,True,0.21166530707617187,2.013190156341281,0.70401335
7217,7217,GALNTL6,26,True,0.0032634195072646878,2.0224290566998095,0.7370315
7234,7234,GAREM1,32,True,0.004367100848601777,2.2080974164533664,1.4005773
7244,7244,GAS2L2,3,True,0.0005794594404368134,2.0159890267893705,0.714016
7256,7256,GATA2,2222,True,0.2553002562215755,2.1807414636452065,1.302812
7258,7258,GATA3,1363,True,0.2179969109210107,2.2814430869318967,1.6627017
7259,7259,GATA3-AS1,17,True,0.002718681073487146,2.1228914967167913,1.0960665
7262,7262,GATA6,11,True,0.0013275707245887871,2.185500136557991,1.3198186
7271,7271,GATS,355,True,0.0453125377122674,2.0573818647410116,0.86194664
7280,7280,GBP1,2987,True,0.44453264131156517,2.4399011336270062,1.8720948
7283,7283,GBP3,1848,True,0.21554908887930163,2.0289203815508356,0.76023036
7284,7284,GBP4,5971,True,0.7059772239259955,2.2816439749343598,0.7690989
7285,7285,GBP5,2744,True,0.4136973434810406,2.44952205293212,1.9114633
7300,7300,GCH1,834,True,0.10367549690542847,2.0384544021714754,0.7943033
7309,7309,GCNA,205,True,0.028204948909214003,2.170512518330874,1.2662555
7313,7313,GCNT4,122,True,0.021610554370427654,2.259717879803892,1.5850596
7322,7322,GDAP1,593,True,0.06380101208477643,2.118579343995566,1.0806556
7329,7329,GDF15,26,True,0.003839223321514884,2.732075326305438,3.2731814
7335,7335,GDF7,178,True,0.023378546805524925,2.219849372088216,1.4425766
7347,7347,GEM,33,True,0.005037496846559029,2.348576118026847,1.9026232
7397,7397,GHET1,107,True,0.014307572524580058,2.0538662948501276,0.84938264
7403,7403,GHRLOS,289,True,0.03390000572661177,2.0277940367805933,0.756205
7404,7404,GHSR,7,True,0.0017517889755964105,2.710236221680697,3.1951323
7410,7410,GIMAP1,2119,True,0.31773650741055626,2.268917001905253,1.1724324
7413,7413,GIMAP4,4646,True,0.7179847407650004,2.4983379400569454,1.4905288
7414,7414,GIMAP5,2004,True,0.3145329239573718,2.2461353765862775,1.0792106
7415,7415,GIMAP6,1272,True,0.17574364545624566,2.1400142493166268,1.1572602
7416,7416,GIMAP7,7179,True,1.092911912972377,2.706250201166322,1.7817297
7417,7417,GIMAP8,1418,True,0.1935088135679706,2.123686370186827,1.0989072
7419,7419,GIN1,818,True,0.08657347629649954,2.018513279031634,0.72303724
7427,7427,GIPC2,169,True,0.01756572883543263,2.1741681147632512,1.27932
7445,7445,GJB6,24,True,0.003905940489582057,2.1715983668697305,1.2701361
7456,7456,GK5,2406,True,0.2732845068325473,2.1395977504189747,1.1557716
7457,7457,GKAP1,1029,True,0.11519799102171072,2.0266135363591733,0.75198615
7465,7465,GLCCI1,1515,True,0.19757947235439322,2.179419200053948,1.2980864
7468,7468,GLDN,59,True,0.008172922113270097,2.348678447338176,1.9029889
7483,7483,GLIS3,58,True,0.009211385359726034,2.341967055257366,1.8790036
7491,7491,GLP2R,16,True,0.0019711544497340275,2.0345742371470092,0.7804363
7516,7516,GLYATL2,39,True,0.004412036791899721,2.10584690546321,1.0351521
7528,7528,GMEB2,760,True,0.0790106451889796,2.041049850649566,0.803579
7544,7544,GNA14-AS1,4,True,0.0008751463088964445,2.3852490404209754,2.0336857
7550,7550,GNAO1,85,True,0.012240313214422064,2.0866790000894975,0.9666494
7566,7566,GNG11,1586,True,0.17422239693814565,2.0280782584930024,0.7572208
7571,7571,GNG2,3069,True,0.40972288786728983,2.243405268352293,1.0680391
7578,7578,GNGT2,270,True,0.03599169053570821,2.0418391110052667,0.80639964
7583,7583,GNLY,2592,True,0.8662866883695516,3.7213538210667263,4.7924933
7591,7591,GNRH1,126,True,0.015706639502899328,2.0861654906842766,0.96481425
7624,7624,GOLGA7B,77,True,0.012568515331426819,2.053388258754863,0.84767425
7652,7652,GORAB,1074,True,0.11975272209151755,2.1235009303275607,1.0982444
7669,7669,GPAM,819,True,0.08144171170116901,2.026728253432536,0.7523961
7706,7706,GPM6A,12176,True,1.0620162681058032,5.0040688798432225,8.596984
7707,7707,GPM6B,569,True,0.06430770625130784,2.020095377595133,0.7286914
7727,7727,GPR143,15,True,0.0019503250987981404,2.144599686324535,1.1736476
7731,7731,GPR15,430,True,0.081512936758464,2.3926267065061775,2.0600522
7736,7736,GPR155,1661,True,0.2113037373016511,2.1298066578624892,1.12078
7745,7745,GPR171,1082,True,0.1908454723209524,2.366236417597302,1.965738
7747,7747,GPR174,375,True,0.051139305194278284,2.093999727215729,0.9928124
7749,7749,GPR179,12,True,0.0015367050488051051,2.0157317556756134,0.71309656
7750,7750,GPR18,669,True,0.08753119509822578,2.0292358410134805,0.7613578
7753,7753,GPR183,5810,True,0.7181202455526052,2.350977420613127,0.99992776
7757,7757,GPR22,181,True,0.022251983672205364,2.10169326345033,1.0203078
7772,7772,GPR45,6,True,0.000715378771182682,2.5875805818202444,2.7567828
7781,7781,GPR65,2709,True,0.3651270000439944,2.230797678091596,1.0164492
7783,7783,GPR75,59,True,0.007740095547088461,2.1863329125702777,1.3227948
7785,7785,GPR78,33,True,0.0034558148496699644,2.013131715098778,0.7038045
7791,7791,GPR88,42,True,0.004189952477766721,2.072680846482472,0.9166225
7794,7794,GPRASP1,273,True,0.044864379593528604,2.2086371427415483,1.4025062
7797,7797,GPRC5B,16,True,0.002641364774245201,2.135879164804362,1.142482
7803,7803,GPRIN3,1755,True,0.276373142106703,2.3031220134991024,1.7401783
7812,7812,GPX2,51,True,0.006249279286627179,2.1461109811230132,1.1790488
7823,7823,GRAMD2B,436,True,0.051256886599649006,2.0683003077879554,0.90096724
7826,7826,GRAP2,902,True,0.14386230824382323,2.208112750653858,1.4006321
7835,7835,GREB1L,183,True,0.023917064255151572,2.169532348814909,1.2627525
7836,7836,GREM1,30,True,0.004446775976925401,2.100296341264137,1.0153154
7837,7837,GREM2,59,True,0.010554158124131678,2.160664869287711,1.2310618
7852,7852,GRIK1-AS1,7,True,0.0011849519189015996,2.0510726990027397,0.8393988
7853,7853,GRIK1-AS2,67,True,0.01027341671455893,2.024381046314142,0.7440076
7861,7861,GRIN2C,98,True,0.014473407692008779,2.1308315520864385,1.1244428
7863,7863,GRIN3A,99,True,0.012655328020599826,2.097268680075737,1.004495
7873,7873,GRK5,475,True,0.06512383835619653,2.1720117006011748,1.2716134
7878,7878,GRM2,11,True,0.002274594525564629,2.4883356414463815,2.402099
7892,7892,GRPEL2,1147,True,0.121939125900834,2.038715815981036,0.79523754
7939,7939,GSTM3,998,True,0.10780732253669595,2.0408121368719905,0.8027294
7997,7997,GTSCR1,53,True,0.009574445374076042,2.224574383702248,1.459463
8005,8005,GUCA2A,3,True,0.00035906088285316836,2.01557099978447,0.71252203
8009,8009,GUCY1A3,5307,True,0.6490293301699495,2.3667635479712423,1.0524838
8029,8029,GVINP1,3888,True,0.5787564456929093,2.4479316812312035,1.3227135
8037,8037,GYPA,740,True,0.25010925555685937,3.5177532933852564,6.0810547
8038,8038,GYPB,521,True,0.10776200819194817,2.8170777808615863,3.576965
8040,8040,GYPE,420,True,0.046809289399405235,2.033423319622762,0.7763231
8044,8044,GZMA,2436,True,0.6269686075855498,3.115979614375556,3.5468168
8045,8045,GZMB,1093,True,0.3062040672668641,3.0255456207024594,4.2685356
8046,8046,GZMH,1058,True,0.25732307411765093,2.762943218717585,3.3834977
8047,8047,GZMK,970,True,0.24770658910705348,2.8707220500811594,3.76868
8050,8050,H1F0,3845,True,0.483421735337547,2.4427127603719576,1.8835998
8064,8064,H2BFM,14,True,0.0017781684034462416,2.101710474061472,1.0203693
8071,8071,H6PD,1782,True,0.1867530823498575,2.0302468826794584,0.7649711
8074,8074,HABP4,341,True,0.05307837244548059,2.245242135522182,1.5333259
8097,8097,HAPLN1,3,True,0.0007205769172020896,3.167483835385838,4.829254
8114,8114,HAUS3,3684,True,0.40217065605921276,2.263183078815482,1.1489693
8124,8124,HBA1,1206,True,0.6133071369167675,4.8593172596343015,9.350837
8125,8125,HBA2,1989,True,1.127769675480925,5.716063150782786,8.02749
8126,8126,HBB,7887,True,3.255052106952686,7.5609909712423535,3.5003736
8127,8127,HBBP1,368,True,0.058887546877378384,2.7408474020393534,3.304531
8128,8128,HBD,2383,True,1.0987162248838294,5.1829938768608566,9.127669
8129,8129,HBE1,447,True,0.09318446855460458,3.3690910379721024,5.5497622
8130,8130,HBEGF,1720,True,0.20432413592531445,2.127096359453823,1.1110939
8131,8131,HBG1,749,True,0.7838886798882501,5.969463959312716,13.046801
8132,8132,HBG2,850,True,0.8405925369058377,6.143005018723744,13.624563
8133,8133,HBM,596,True,0.3179778305648354,4.105834136245151,8.689046
8146,8146,HCFC2,1438,True,0.16567940501075637,2.0430616836866173,0.8107689
8147,8147,HCG11,1938,True,0.19923710945129736,2.0289193373609336,0.76022667
8188,8188,HDAC9,2092,True,0.23405671374558312,2.0602735703749344,0.87228113
8189,8189,HDC,129,True,0.031168327586472925,2.93103980429068,3.984245
8195,8195,HDGFL3,1930,True,0.19454803922848132,2.013798899613812,0.70618886
8208,8208,HEATR9,15,True,0.0031214479033251177,2.3586139965879727,1.9384968
8216,8216,HECTD4,1985,True,0.21175508275389637,2.0270764196797404,0.7536404
8220,8220,HEG1,448,True,0.06831100342552072,2.2616903463425286,1.592109
8222,8222,HELB,1104,True,0.13401213111535887,2.047467952464178,0.8265161
